,bp_rp,phot_g_mean_mag,distance_gspphot,visibility_periods_used,astrometric_sigma5d_max,astrometric_excess_noise,astrometric_matched_transits
65906,3.1601696,15.697134,41.4235,31,0.0481116,0.16277352,73
65907,2.19164,12.569347,52.2486,30,0.021102935,0.13756488,67
65911,1.1471872,10.652639,80.6733,27,0.0175043,0.07612649,78
65915,1.867445,11.40377,45.7987,29,0.026092703,0.15947118,60
65916,1.0008192,10.412152,86.2161,28,0.02488382,0.10814735,52
65917,0.99978447,10.141995,86.5966,29,0.018812511,0.074730456,58
65918,2.410903,14.1148815,82.6421,31,0.022258328,0.04369446,61
65920,3.431404,16.91346,60.4403,28,0.08670671,0.2010342,53
65923,2.3005743,13.745957,84.6504,27,0.019932473,0.06961582,53
65924,0.7382717,9.35877,96.4963,27,0.017350946,0.07072422,42
65925,0.5894375,7.527796,97.0979,28,0.04139663,0.28386882,46
65927,1.0723982,10.765021,90.9893,28,0.021656113,0.1277561,48
65929,2.222189,12.390885,64.1731,29,0.15189056,0.99989223,48
65930,2.0988693,9.161387,11.1838,27,0.040048387,0.23123252,48
65932,0.5051055,6.7098317,53.0335,27,0.026463866,0.15319684,45
65933,0.838397,8.853416,65.1996,28,0.018644877,0.07229344,50
65936,2.8025942,15.742006,96.7106,30,0.04508886,0.09133381,52
65937,2.261839,13.909266,90.9521,27,0.023111768,0.0,45
65938,0.850749,8.763402,52.929,30,0.028243475,0.12547044,42
65940,0.95687866,10.225393,93.2902,28,0.03696428,0.23455247,42
65942,1.1662216,10.96866,85.0221,18,0.023643374,0.086538695,35
65943,3.1322422,15.51703,56.8194,18,0.062613115,0.14185844,34
65948,0.9798765,9.83782,86.0995,18,0.087814495,0.70130205,61
65953,2.0323725,13.274499,96.8413,18,0.028330874,0.055066507,40
65960,1.8635054,12.690186,92.1339,25,0.018290695,0.073509976,48
65961,2.410056,14.135453,86.7947,25,0.022122927,0.0,68
65964,2.301508,14.016018,87.671,28,0.022223102,0.07843997,101
65971,2.4550533,15.204575,100.4576,26,0.033406544,0.0,60
65974,1.8503876,13.194444,91.0849,29,0.014742382,0.014999526,76
65975,2.4766293,14.773416,95.7078,31,0.026946187,0.07396498,83
65977,1.1921501,10.486359,73.0627,29,0.023459446,0.161431,98
65979,2.429164,14.866245,95.8901,31,0.027404295,0.072154485,106
65983,2.390297,15.308687,97.8346,19,0.06042851,0.0,38
65991,1.094018,10.146041,63.2619,22,0.021408532,0.08051457,76
65996,2.771741,15.053727,77.4348,27,0.035219833,0.065517284,44
66000,3.5553856,17.98242,105.6926,26,0.22990556,0.3396519,37
66002,1.0201206,9.809656,68.9546,26,0.017872022,0.0656166,39
66004,2.9979773,16.943047,101.9886,26,0.100769475,0.1299556,36
66005,3.1551409,13.934229,25.0513,28,0.030204518,0.10164529,37
66012,0.84014416,9.672863,96.4449,24,0.16854359,0.8579208,34
66013,1.575778,12.432676,89.2899,26,0.015712656,0.044127103,41
66014,1.5219879,11.884633,89.3412,24,0.020695606,0.084423244,39
66018,3.3498316,14.54886,26.9355,23,0.05157449,0.21227424,30
66019,2.6168041,14.545961,85.6939,27,0.031589102,0.0,38
66027,2.605194,12.225863,27.0926,22,0.035407096,0.17487031,33
66029,1.0490799,9.950029,87.1723,25,0.16331446,1.0600232,39
66030,2.8999987,14.935105,92.1171,24,0.03684536,0.0,35
66031,1.934102,12.451329,69.2529,22,0.02026803,0.061757494,30
66032,2.2127275,13.715141,70.7537,25,0.025588917,0.0,33
66033,3.4633875,16.252802,48.5307,23,0.080647536,0.15911487,33
66037,2.3413591,12.533358,37.1441,26,0.022711162,0.11546162,41
66039,1.9611044,12.265242,69.5687,26,0.024324948,0.09701419,40
66040,1.8659315,13.073345,95.5193,26,0.020183675,0.0,39
66044,2.7205105,16.4584,93.516,24,0.07363976,0.0,40
66045,1.6056404,10.880371,64.4874,26,0.025063606,0.1316554,39
66047,2.0759344,13.115851,79.4088,25,0.022296352,0.0,34
66048,1.7325001,11.995047,58.5721,25,0.023899341,0.0826038,33
66054,1.7365532,11.650974,66.445,25,0.03454356,0.1724218,36
66056,1.2831326,11.077415,88.1846,24,0.025009328,0.07360354,31
66058,1.9056139,12.808402,83.9477,22,0.023283502,0.07656914,28
66060,2.2833738,14.813634,88.1967,26,0.034249235,0.0,37
66062,2.534793,14.915174,97.6342,21,0.042642422,0.0,33
66067,0.695837,8.062231,77.4946,20,0.035997882,0.13651916,47
66078,2.788495,14.456205,45.5732,22,0.041338053,0.14568922,54
66080,1.0125742,8.145563,29.4993,22,0.11335694,0.69888294,47
66083,1.3941908,11.619295,92.5168,21,0.027140377,0.1281534,46
66088,1.3495626,10.807229,70.0322,20,0.028098298,0.1096058,46
66090,1.7826109,12.789232,93.3893,20,0.025568694,0.07460994,48
66091,1.3496323,11.327362,115.2782,20,0.52926624,2.751322,50
66095,2.3174276,14.291836,89.0904,24,0.026315529,0.059163045,63
66096,0.76205873,4.093279,9.2019,16,0.18775252,1.0004035,60
66102,2.6322603,13.2287445,28.9518,20,0.017623242,0.017526159,65
66103,1.1957073,10.954759,91.2356,20,0.029246094,0.14784227,53
66113,0.87163734,9.4810295,95.023,16,0.032711085,0.092547975,32
66117,1.1956558,10.832409,79.9398,20,0.021661598,0.09341697,83
66119,0.60767794,6.7909617,81.0811,23,0.11494938,0.80303496,53
66121,1.7454004,11.8162565,90.1764,21,0.030624425,0.2190682,91
66123,2.1966524,13.428231,84.6621,22,0.017767454,0.0,50
66133,2.3356485,12.222729,34.3108,23,0.028405463,0.23004371,91
66135,2.732298,15.485056,101.0152,24,0.03633756,0.0,60
66144,2.4273634,14.603366,99.3773,20,0.03604465,0.0,40
66147,2.0221748,13.134356,88.844,25,0.046647068,0.33781523,96
66151,0.73499966,8.985947,85.2902,30,0.017484872,0.07874392,67
66154,0.6329465,7.114429,82.5453,30,0.028590603,0.17778106,103
66156,1.0328913,8.654375,38.8534,29,0.022479482,0.08336108,60
66159,2.019846,13.712918,27.9927,30,0.036934596,0.22528666,63
