bp_rp,phot_g_mean_mag
2.3220234,14.429162
2.4111576,20.999832
1.6900721,12.093751
2.155551,12.3718195
1.4796066,20.712461
0.9288616,10.192037
,19.142803
1.9755096,20.24175
1.2993927,20.250662
3.624586,18.504171
1.0275822,9.924486
0.6456299,8.323496
3.7140217,18.70986
1.8916035,18.133204
1.008709,20.814617
2.2933865,16.237566
0.4805808,7.825161
,17.858988
1.3220387,20.039856
1.3344517,20.549927
2.2031746,12.474231
1.6977673,11.630813
3.1946735,19.136768
,20.029562
2.5118237,14.4316025
2.5631275,13.856783
2.5798197,15.341599
1.7494106,11.707518
1.2570877,19.694077
2.7835808,15.581195
1.2765541,20.611576
,20.477467
2.041628,19.24768
2.7445984,15.845789
1.5691776,11.855186
1.3029175,18.90727
,19.33592
2.952654,15.389876
3.743227,18.21226
1.9789419,12.62015
2.3856354,13.522132
3.1866827,15.982062
1.3354588,18.94548
2.8982382,13.354602
1.6187248,18.938591
1.9625092,20.418636
,19.930576
1.4627113,19.513603
1.3534851,18.650146
1.8521004,20.740631
2.4719677,14.520257
2.5256653,17.384306
1.4906673,20.428963
1.2780838,20.213655
0.19451523,20.950123
1.6852798,19.910742
1.666336,20.907572
2.2244968,20.263151
2.3587532,19.625805
1.3980141,20.228561
1.7064648,20.474426
0.74958277,8.435285
1.7874832,19.272799
2.9963093,15.911984
1.2814846,19.872337
3.306923,19.173925
,19.888693
1.3454075,19.50593
1.3807163,20.003592
,20.177114
1.7410469,19.607998
1.5121632,19.305756
2.32547,14.47267
1.7089148,15.109729
0.47800636,18.589937
1.0635586,9.549263
1.4801235,20.60536
,19.683748
2.0815258,19.99762
1.470974,19.067509
,20.824593
,19.836308
2.5865269,14.57836
2.734375,14.247115
2.8037405,13.006976
3.0741158,16.273031
1.1168251,20.399687
2.4595509,14.046845
3.977623,18.104755
2.4864664,13.891265
2.8037462,15.881888
2.862176,15.447026
2.6271725,20.88357
1.2931328,19.228857
2.7181263,20.002323
1.7317677,20.020588
1.2092628,19.481464
2.194479,20.557
2.3107471,19.942186
2.6421404,14.989248
2.346469,13.98507
3.2638702,17.2404
3.9018784,18.150423
1.2658501,20.203306
1.1470432,10.435082
1.5653601,9.067902
0.6509609,19.442144
0.91143703,9.884839
,19.896763
,20.166422
3.183302,16.730457
2.7187614,19.983074
3.013238,12.147362
1.4596138,11.469663
1.6629086,18.959486
0.6743164,20.100353
1.9219799,20.730906
1.8281555,20.094913
3.1520472,16.859785
2.2732248,14.144917
1.4951229,20.66765
0.8714886,12.121138
1.3696918,20.260683
1.6492577,19.969015
1.5637665,20.801914
1.9646568,20.055462
1.4176464,18.81929
2.29138,17.38229
2.4868374,15.163051
1.6082993,20.133083
2.1383934,20.44639
3.7483702,16.787548
1.1319227,10.674205
,19.733027
3.4591427,17.23791
1.713789,19.06947
2.012354,20.438068
1.619566,19.815727
2.969637,20.153837
1.2730942,18.936811
1.7422924,19.011215
0.74179745,8.157772
0.83802414,20.432175
0.9962864,20.673405
1.1682053,19.15197
2.7770538,20.362556
0.2675867,13.604134
1.7065659,19.753471
2.1653385,20.39273
2.4275646,19.566412
2.2519436,20.21176
1.7311916,19.663704
,20.383642
2.4224014,20.539707
3.3980694,17.753239
2.5885582,20.46846
,19.711924
2.9661083,16.44084
2.1646175,13.373971
1.256629,10.321613
2.1462746,13.274283
2.2936306,13.397059
1.8827496,19.006918
2.68511,19.946207
0.37983513,19.958033
,20.080898
2.437499,14.956471
2.5208588,20.598646
2.318716,20.701126
2.4799595,20.589476
1.531374,20.776077
,19.964933
1.1303482,19.43649
2.0342255,20.66468
3.1880102,15.572573
1.603962,11.869413
