,phot_g_mean_mag,bp_rp,distance_gspphot
361855,17.737385,3.8157082,111.2198
361858,14.980072,2.3349533,98.4734
361862,9.443836,0.9134331,59.8573
361867,9.961989,0.94443035,82.2224
361872,11.106624,2.4043293,20.6905
361873,13.89165,2.2948246,87.3894
361874,14.0033655,2.5169888,81.1691
361878,9.177887,2.173296,10.4702
361883,12.22482,1.7637691,83.819
361884,10.269996,1.096612,84.7449
361900,16.390089,2.7503061,99.6236
361909,14.933776,2.5458994,92.0655
361913,9.755131,0.93192387,91.3305
361919,12.46869,1.9693651,65.5136
361923,16.753565,2.9676313,97.1698
361930,11.942718,1.8102303,62.877
361940,17.60408,3.4011536,108.513
361942,10.370029,0.99257946,92.3538
361948,9.659324,0.7915268,99.195
361950,10.15567,0.8944464,95.9593
361951,14.355582,2.493269,77.8535
361953,13.364939,2.0943918,96.8579
362049,13.07522,2.1047783,91.5127
362054,12.2657585,1.7519875,91.6362
362097,15.910258,2.675787,98.651
362103,8.393738,0.7302537,78.0146
362108,8.8143425,0.95274925,42.2341
362115,11.753792,1.7001734,68.0957
362117,13.470064,2.3078318,82.0825
362173,13.561607,2.231248,66.5101
362261,8.17754,0.815115,52.0674
362275,13.942568,2.058237,79.7381
362278,9.851643,0.90935135,78.5994
362287,9.919642,1.0077105,59.2678
362288,13.427662,2.4729252,45.9347
362292,14.725133,2.6307144,88.5912
362295,16.213745,3.1300573,102.055
362296,15.782969,3.0707502,49.6281
362297,13.80905,2.2678251,87.0892
362302,11.69736,1.4404078,87.0744
362303,15.800646,3.1642675,51.1803
362305,11.164316,1.169982,94.9811
362307,13.489238,2.8609495,36.4406
362315,7.180583,0.6330128,89.4748
362316,15.523656,2.8578176,98.1653
362317,15.43627,2.7628012,94.3481
362318,16.28906,2.771533,95.7827
362320,9.311384,1.0129519,56.9927
362321,15.49049,2.6122837,98.9527
